State,County,IT_WholeRate,HighSchool_WholeRate,MedianInc_WholeAvg,republican_rate,Segregation,urban,racial_weighted_bias,hesitancy,HighSchool_Disparity,IT_Disparity,MedianInc_Disparity,CvdVax_DisparityY,vehicle,FacNumRate,CaseRate,Black_Prop,Test
California,Alameda,91.4,88.4,99.406,1770.559475,49.89044415,1,33.25882733,9,5.7,10.7,62.678,16.76879592,90.4,0.017291628,5.114552551,11.03122126,0
California,Butte,89.1,89.2,52.537,4775.484604,62.09950724,1,36.52066431,13,0.7,6.4,24.189,13.49470577,92.8,0.017793107,5.288202714,1.89701897,0
California,Colusa,86.5,71.3,59.401,5726.667504,19.21900966,0,37.22330525,14,18.7,-0.6,39.137,15.70714501,94.6,0.018564069,10.20559707,1.308766882,0
California,Contra Costa,93.8,89.5,99.716,2630.232438,52.70258019,1,37.08220554,9,4.9,6.2,44.922,17.6785723,94.5,0.014043897,5.817034033,9.541527456,1
California,Del Norte,84,80.1,45.283,5641.809291,35.76930334,0,36.87918675,15,21.5,-12.6,-57.687,23.01257948,90.4,0.028764562,4.631094492,3.523658852,0
California,El Dorado,90.1,93.4,83.377,5324.527717,58.87947703,1,36.52552856,10,8.4,3.6,-4.821,7.449124103,95.9,0.017112366,5.06992735,1.037113092,0
California,Fresno,83.7,76,53.969,4508.222111,48.47973671,1,38.05911585,13,7.6,11.6,35.703,20.40860224,91.5,0.020218176,10.07115397,5.802816732,1
California,Humboldt,87,90.5,48.041,3162.956936,65.59209217,0,35.93549958,13,18.3,17.9,26.185,13.89732726,92.4,0.037622272,2.671181339,1.48866168,1
California,Imperial,84.2,69.7,47.622,3675.552735,52.88921644,1,38.44294288,14,18.7,13.8,37.583,28.90933141,92.6,0.017658582,15.44629308,3.315950666,0
California,Kern,82.7,74.1,53.35,5388.924928,48.3678345,1,38.40725293,14,6.8,10.5,27.542,13.83059818,93.2,0.019551167,11.98386584,6.252152295,1
California,Kings,82.5,73.4,57.848,5488.622372,31.0153549,1,37.34183835,16,12.6,6.2,22.659,12.74837734,93.6,0.022884791,14.89276841,7.465018962,0
California,Lake,80.9,85.8,47.04,4556.597222,55.31221622,0,37.93207299,14,13.2,6.4,17.181,7.081480866,93.1,0.012425061,5.300841798,2.098282235,1
California,Los Angeles,86.9,79.1,68.044,2686.865991,57.09810607,1,37.54634012,11,5.1,9.9,39.215,11.53251899,91,0.015419698,12.24539195,8.956633294,0
California,Madera,83.2,71.9,57.585,5468.523138,43.05766854,1,38.28609995,14,10.4,4.3,23.202,20.88412637,94,0.023517896,10.34596732,4.166481278,1
California,Marin,93.2,93.3,115.246,1579.707447,49.69167214,1,33.91614048,8,13.8,6.3,77.899,25.82534562,95.1,0.018931637,5.356880684,2.84167742,0
California,Merced,87.6,69.1,53.672,4351.288367,45.82693655,1,36.18388529,14,1.7,9.8,23.728,14.80367806,92.7,0.020167099,11.26008355,3.938706425,1
California,Monterey,85.3,71.5,71.015,2825.125242,52.69261411,1,37.92445236,12,6.7,4.2,22.294,22.29505458,95.3,0.018660972,9.967953813,3.448824013,1
California,Napa,91.4,85.5,88.596,2866.809018,67.54332456,1,38.75051801,10,9.3,0.2,30.846,22.90109788,95,0.015971658,7.02752933,2.459635265,1
California,Nevada,88.9,94.4,66.096,4136.519509,70.12318095,0,34.53143751,11,14.7,-7.7,-11.63,14.79198573,95.9,0.02004912,4.487995589,0.632549747,1
California,Orange,92.5,85.5,90.234,4445.599566,46.05274703,1,38.55815304,9,4,2.9,25.822,14.69826016,95.6,0.017224592,8.471728367,2.142556646,0
California,Placer,92.4,94.5,89.691,5211.87829,42.0179934,1,34.77191092,10,-0.3,-2.1,4.648,5.891702259,96.2,0.017322364,5.492444688,1.946129958,0
California,Riverside,89.5,82,67.005,4504.923235,40.05171628,1,38.58268944,12,2.2,2,11.784,12.20790229,95.7,0.014612155,12.03454621,7.269486178,0
California,Sacramento,90.8,87.7,67.151,3611.424355,43.89635007,1,36.72548517,12,4.1,5.8,26.789,11.48720989,93,0.014174728,6.540412794,10.86177192,0
California,San Benito,92.6,80.5,86.958,3674.40408,54.47097179,1,36.83883322,13,3.5,-3.9,-41.759,13.77518562,97.6,0.014329385,9.535409502,1.644694943,0
California,San Bernardino,87,80,63.362,4355.375173,36.28574167,1,39.26812005,13,4,6.2,16.831,11.08749257,94.9,0.013072885,13.52621572,9.378258187,0
California,San Diego,92.3,87.4,78.98,3746.55527,46.35460729,1,38.33824779,11,4.4,5.1,33.55,26.69414017,94.5,0.016205708,8.241006731,5.527254645,0
